# name	prop	strategy	detail	sha256(script)
append	0	induction	binder 1 ctor 0	2a324d763db8b28f2cede034f99f16fe6c3a01c7f8d7ff7ee69cbc85d82d479a
append	0	induction	binder 1 ctor 1	69d8accc70bc0af8e37c924b7aac1dc977a723c615e2e550ea5599a72bca8c69
append	0	lexicographic	binders 0,1 ctor 0 base	a27e5280dc13bdd63aff31be43c90716a8eddeea94bedd8e955405cd8ec506f3
append	0	lexicographic	binders 0,1 ctor 1,0	f2d2c746c1713db476db9ba781bf5417ef9c0bc61bc88161cd1dfe2afed564d9
append	0	lexicographic	binders 0,1 ctor 1,1	603470f244989c5057457248bae90b0543183697ce83ce7196ab0e33addd2ae2
append	0	lexicographic	binders 1,0 ctor 0 base	2a324d763db8b28f2cede034f99f16fe6c3a01c7f8d7ff7ee69cbc85d82d479a
append	0	lexicographic	binders 1,0 ctor 1,0	9209c33ac828975b863e5ee292d38362c9d3ef08d555c404612a54d5ff40e036
append	0	lexicographic	binders 1,0 ctor 1,1	42358b4c886a58bb7f7e20838bdd0d29a2c4d29eac81982f78008dfd8c103568
append	0	direct-fallback		16e8b28a8111afd35e3a1c030cd2868b2d997fd0e57668f45dd814e2c151971a
append	1	lemma-free		84cec1932a1205ab658ea5cc09b7a7ac0349f219f601c16a664dee90d99d497d
append	1	direct		1464c28857702f30f494716bb7b843a7045ae1209c410e20fb276b87c2b8bb6b
append	1	induction	binder 0 ctor 0	55e5185a1e04f1614e676af5ed04f08b30c23e9c4560193c25994ce81f4e3a3a
append	1	induction	binder 0 ctor 1	3796e4db561d07c0548e35cd47a3be722739e2ee321de1b172a844594ff9cf81
append	1	direct-fallback		1464c28857702f30f494716bb7b843a7045ae1209c410e20fb276b87c2b8bb6b
append	2	lemma-free		097615c2c6f47b7b82b8ac38a27604b563d02b4a3ebf5ff9c9191da2dbda2937
append	2	direct		bd62165c51e7da75458fe222b96edb0fb20a046e39ac931bf6ab4e25ec39a574
append	2	induction	binder 0 ctor 0	f6f2bb2549ce890b6585916b91bb7a1356cfc4749a17282e35b71699fcfcc412
append	2	induction	binder 0 ctor 1	a866b9629ffadcd6ebef15513901065bff7577608ebd2c1500e64004d7ece000
append	2	induction	binder 1 ctor 0	1f493f96d2a1944643294d8593202d8fc18424fbafabf95c59ead2e01d38da5a
append	2	induction	binder 1 ctor 1	b04d083d4a033576fab4d005f06754d32c015b047b782279a3ab5094e748aff8
append	2	induction	binder 2 ctor 0	2a31f8b24ccb2edae486bb1d40d540782de902b00f37d9841f0dedc8b217ca10
append	2	induction	binder 2 ctor 1	6ef37a2a9f94357f757044821a9a2057a13a507e23c568ddf084b377fc8fedf8
append	2	lexicographic	binders 0,1 ctor 0 base	f6f2bb2549ce890b6585916b91bb7a1356cfc4749a17282e35b71699fcfcc412
append	2	lexicographic	binders 0,1 ctor 1,0	e8db2972962653a15b87fbfc557ec638e579574f90de2c588ba2fa76deadd601
append	2	lexicographic	binders 0,1 ctor 1,1	48a4131c2fb21d41e6d34b4824a296e11e4e3349a189c09c3f15d9cbdbd35cd6
append	2	lexicographic	binders 0,2 ctor 0 base	f6f2bb2549ce890b6585916b91bb7a1356cfc4749a17282e35b71699fcfcc412
append	2	lexicographic	binders 0,2 ctor 1,0	776cf9af8a365a3fee46be36ca6483839be83b2c1353236d728937cade44f7c8
append	2	lexicographic	binders 0,2 ctor 1,1	1ed2d8794b15c9e392a88afddfb856f635b2400543108558632a00ee5a58e24a
append	2	lexicographic	binders 1,0 ctor 0 base	1f493f96d2a1944643294d8593202d8fc18424fbafabf95c59ead2e01d38da5a
append	2	lexicographic	binders 1,0 ctor 1,0	20cc255b3e3f5b43289c7e147731927bcd90c76312d5cdc92532816289091357
append	2	lexicographic	binders 1,0 ctor 1,1	60ac58a917cfcdaa4312fc5350c7832bbf6c84e85a25fa024157861c7db9e733
append	2	lexicographic	binders 1,2 ctor 0 base	1f493f96d2a1944643294d8593202d8fc18424fbafabf95c59ead2e01d38da5a
append	2	lexicographic	binders 1,2 ctor 1,0	20cdd40a300c7d0314d7ae2b42817926fa8833f0c25725147c115b21ab29623b
append	2	lexicographic	binders 1,2 ctor 1,1	f3c1ab4feeb6373cb120e97043cf775008fd710ad9e732d72df6617c4095e6df
append	2	lexicographic	binders 2,0 ctor 0 base	2a31f8b24ccb2edae486bb1d40d540782de902b00f37d9841f0dedc8b217ca10
append	2	lexicographic	binders 2,0 ctor 1,0	9a977b7e786a2a704a9e7256e7511736cdbab91ef35aecf580836399ab66b50a
append	2	lexicographic	binders 2,0 ctor 1,1	152d9e08e677227fd9590539814798d1ed6e9a4abbfb343a127ab28e72b30e99
append	2	lexicographic	binders 2,1 ctor 0 base	2a31f8b24ccb2edae486bb1d40d540782de902b00f37d9841f0dedc8b217ca10
append	2	lexicographic	binders 2,1 ctor 1,0	ea641c87d707fc7982044089f0330abca0867b95fa850c131c17efd02f65fbb6
append	2	lexicographic	binders 2,1 ctor 1,1	1154f5c999da70cede001a7df75ae7def16278f10c4ebf571556828ee191050c
append	2	direct-fallback		bd62165c51e7da75458fe222b96edb0fb20a046e39ac931bf6ab4e25ec39a574
bad-reverse	0	lemma-free		ac64512fc06832621d9dde724aaeae4c69f20bde0c450825118199a15409f07b
bad-reverse	0	direct		ac64512fc06832621d9dde724aaeae4c69f20bde0c450825118199a15409f07b
bad-reverse	0	induction	binder 0 ctor 0	e9ffa23b7721d60a0f0437a9fb2f5c32dbf79a923d1f1e1bcd81f9150565c138
bad-reverse	0	induction	binder 0 ctor 1	7c99f0cd5cbaf5db460a7c085fd948fe2b114366d0ab05085d790d452e381096
bad-reverse	0	direct-fallback		ac64512fc06832621d9dde724aaeae4c69f20bde0c450825118199a15409f07b
bad-reverse	1	lemma-free		b27c323e2600435befba53a91eeb280a22bf9041edbb7c774a7827504ee96813
bad-reverse	1	direct		cf523f0174e34df463c388e8c6834c3f319199b32061cda18ad48856aef32e42
bad-reverse	1	induction	binder 0 ctor 0	acfa208ca8b68a5f29f49e86a688059aa1ef886de4ffc13c6a884affe2597f9a
bad-reverse	1	induction	binder 0 ctor 1	2471dbb874ee3bb8ff05cc846341aff7007d0fbda7db7154bdc0618a8a640239
bad-reverse	1	induction	binder 1 ctor 0	0aefe70e6c253b5312e8897cfd6ecb4db82795f11630f87552e963e14d2b4214
bad-reverse	1	induction	binder 1 ctor 1	dbbd2e1566ecaeb7bb6c6889a49583fb7d99e2b7bbe3eee6ae506942d36a2e7d
bad-reverse	1	lexicographic	binders 0,1 ctor 0 base	acfa208ca8b68a5f29f49e86a688059aa1ef886de4ffc13c6a884affe2597f9a
bad-reverse	1	lexicographic	binders 0,1 ctor 1,0	e2dc655fb9470210440a8bec8095e887bbb4e59d23329f06dbfdc481833dbaa4
bad-reverse	1	lexicographic	binders 0,1 ctor 1,1	c52bb927aac2579a55050df9e632c266915b862ff62224796cef2a83a9b53166
bad-reverse	1	lexicographic	binders 1,0 ctor 0 base	0aefe70e6c253b5312e8897cfd6ecb4db82795f11630f87552e963e14d2b4214
bad-reverse	1	lexicographic	binders 1,0 ctor 1,0	f1c6c3fa0da7b386cd1471e76fd8a56b555a05cbdd69740a19109747eb4eb9d1
bad-reverse	1	lexicographic	binders 1,0 ctor 1,1	4c9f33075654f0226f63bf9dd2b9f19087e114ca8c98da95d9ab4fcaaeb12dd7
bad-reverse	1	direct-fallback		cf523f0174e34df463c388e8c6834c3f319199b32061cda18ad48856aef32e42
bytes-after	0	lemma-free		acbfaf930004bad1e1f59e17f823d297004209a125b921d42ec2d3f250052bb0
bytes-after	0	direct		9089b0d9e8bcca80d9786ad79a1806138fd37c845ba21c8b55dce8b0d824522b
bytes-after	0	induction	binder 0 ctor 0	6f382261883ee108ad9c37e513a5045485cf9be2b4b937c814cc215a3d56ffb3
bytes-after	0	induction	binder 0 ctor 1	a976455837f2d3a96a115e7160d37e070237d6ed5ad5d13452e60104e3daff77
bytes-after	0	direct-fallback		9089b0d9e8bcca80d9786ad79a1806138fd37c845ba21c8b55dce8b0d824522b
bytes-after	1	lemma-free		05f1f4951edce86204ec97a92413beab9404324eedd09143d598935dcae31cbe
bytes-after	1	direct		140f307f7f280cb0225dd62114876348c095dc59f7d20928b4295675c0d04006
bytes-after	1	induction	binder 0 ctor 0	32c55869fa7d8b2a7eb3da75b242c0830f9b9a2a56bc2a390fafb9b8b4570b6b
bytes-after	1	induction	binder 0 ctor 1	6ebd8c61cdad8323a6f78fda0441c12d4e17fc92fc8bf0ac9ad0d3816b63192a
bytes-after	1	induction	binder 1 ctor 0	c7b9ed4961ab0c3278c0fed34a800264a21db900e02a20a889757be991e771f9
bytes-after	1	induction	binder 1 ctor 1	b799f06395003dd6bdd30131fe33466da4f4e4e16a4d9d300e111adfa42792e5
bytes-after	1	lexicographic	binders 0,1 ctor 0 base	32c55869fa7d8b2a7eb3da75b242c0830f9b9a2a56bc2a390fafb9b8b4570b6b
bytes-after	1	lexicographic	binders 0,1 ctor 1,0	f4c815037366f5dc90812a53047d57735c65c38a98f66711bffc1f6afee67de5
bytes-after	1	lexicographic	binders 0,1 ctor 1,1	9567fcba678c1620f14bfabcbbe38e36e49cf3881f889a7b93368e491664a837
bytes-after	1	lexicographic	binders 1,0 ctor 0 base	c7b9ed4961ab0c3278c0fed34a800264a21db900e02a20a889757be991e771f9
bytes-after	1	lexicographic	binders 1,0 ctor 1,0	c9a63e3590457f001cf42adfb8109886d69fc79c82978b53aeafdd5f7b17aa87
bytes-after	1	lexicographic	binders 1,0 ctor 1,1	9136a9c733a5b6f574a46801d4eba586208cc450ce8090d061b180f4545a429d
bytes-after	1	direct-fallback		140f307f7f280cb0225dd62114876348c095dc59f7d20928b4295675c0d04006
bytes-ok	0	lemma-free		35e95647935ec1550f379c4bdd73790e933534569c330e711890bb18d5d167a2
bytes-ok	0	direct		187670e74e68fde7fa1d5cc52584a84f7db853fccf2ec47045bc4f9b46945fdd
bytes-ok	1	lemma-free		c88b26df28cbfa63c806b6d5d1c51ec52bdfe6640acda46f2a59a0e8d6bde178
bytes-ok	1	direct		af69404c1c4d57d36e056169aee3821fd229eed261c98f577456da7bcb42363d
bytes-ok	1	induction	binder 0 ctor 0	3670266543cafe8ba9ca8a0530ab8afea3487f3f47f855b04eb22737395dade8
bytes-ok	1	induction	binder 0 ctor 1	a00092f225d28312960a365a952c52356ba4c1c85c8d4cfdd0616db9c8077484
bytes-ok	1	direct-fallback		af69404c1c4d57d36e056169aee3821fd229eed261c98f577456da7bcb42363d
bytes-ok	2	lemma-free		5e596f2acb02466be91f68be18e546d8f0e18be3f65000c1e2adeb337a7cd8d8
bytes-ok	2	direct		0ff2df6e686419eed2b035b0ef950b0f846d217af2a9337e22275755b60bbfb1
bytes-ok	2	induction	binder 0 ctor 0	b1a0ee98e431639d8ea4fa2eba327e7fdfd21f4530ca19f41d81e829beff3b53
bytes-ok	2	induction	binder 0 ctor 1	d97212074a4b8a2736bd3a5e70a5fc6dcbdfcb6fc6d6b35f4ecb57d04519fbcf
bytes-ok	2	direct-fallback		0ff2df6e686419eed2b035b0ef950b0f846d217af2a9337e22275755b60bbfb1
bytes-prefix	0	lemma-free		feebffa6146ebbc76da8a4b8f8e9647960f7a8b5d3265fd15168d2ac2d03eece
bytes-prefix	0	direct		01d9ed1286d688e1b91a617c601af1e4e952c4a3e29a5e432a76021961ee683f
bytes-prefix	0	induction	binder 0 ctor 0	8adc86b6540e0d9a45c3fa1170070725c1436f8b433c7d5482accfd10b9acfb1
bytes-prefix	0	induction	binder 0 ctor 1	c9876fa98bc437e82180d5f05f6a38d820cd5a7ebb24080a878d226b5dc0da09
bytes-prefix	0	direct-fallback		01d9ed1286d688e1b91a617c601af1e4e952c4a3e29a5e432a76021961ee683f
bytes-prefix	1	lemma-free		e86b3429c545a100d75e0f24b8de9f0323a211824d40c773c7e6126b9e233daa
bytes-prefix	1	direct		dd29b04ac5c1f2bcd30a241022879fe7ba466338b01f82537e2e2529e1ee16a8
bytes-prefix	1	induction	binder 1 ctor 0	d18b650dbd5765af387515e435f6c9b573b4b3c2962a5ff62ba0a266ceed03bb
bytes-prefix	1	induction	binder 1 ctor 1	5d368d58f2002ad10565efb7be866afd915027d1ff401cc77e750bf678065d99
bytes-prefix	1	direct-fallback		dd29b04ac5c1f2bcd30a241022879fe7ba466338b01f82537e2e2529e1ee16a8
bytes-prefix	2	lemma-free		76beecc6336ffe9c35989e34d0fed2cddc85404257619161380d4bc66f34623b
bytes-prefix	2	direct		6b906414beed178ee4b5155010a708ff4772f30c59703ee0e723c09ccb63083a
bytes-prefix	2	induction	binder 0 ctor 0	c36266abb01c145cb52dba8c82271fd1c63d3939cb4b52088fce6b666687195f
bytes-prefix	2	induction	binder 0 ctor 1	4747d960abf10f3a991065cff82a37ff8253355789c715f85d5e39129be4e64b
bytes-prefix	2	direct-fallback		6b906414beed178ee4b5155010a708ff4772f30c59703ee0e723c09ccb63083a
bytes-str	0	lemma-free		50d5c299f33b73036651b0f620dfd7caf57453f6f91151c6ad50c2081afb30c7
